repo,age,language,releases,pull_requests,closed_issues,total_issues,closed_issues_ratio,last_update_days,pushed_at,created_at,stars,forks,watchers,collaborators
freeCodeCamp/freeCodeCamp,10,TypeScript,0,24554,18859,19027,0.9911704420034687,0,2025-03-13T23:51:53Z,2014-12-24T17:49:19Z,412036,39262,8555,0
codecrafters-io/build-your-own-x,6,Markdown,0,140,545,739,0.7374830852503383,0,2025-03-13T23:53:10Z,2018-05-09T12:03:18Z,356147,33035,5842,0
EbookFoundation/free-programming-books,11,HTML,0,6791,1136,1167,0.9734361610968295,0,2025-03-13T23:32:44Z,2013-10-11T06:50:37Z,353032,63029,9844,0
sindresorhus/awesome,10,Unknown,0,664,336,349,0.9627507163323782,0,2025-03-13T23:45:10Z,2014-07-11T13:42:37Z,351268,28693,7831,0
public-apis/public-apis,8,Python,0,1872,602,659,0.91350531107739,0,2025-03-13T23:52:24Z,2016-03-20T23:49:42Z,332310,35116,4290,0
jwasham/coding-interview-university,8,Unknown,0,415,457,510,0.8960784313725491,0,2025-03-13T23:33:38Z,2016-06-06T02:34:12Z,313178,78142,8436,0
kamranahmedse/developer-roadmap,8,TypeScript,1,3356,2538,2694,0.9420935412026726,0,2025-03-13T23:46:33Z,2017-03-15T13:45:52Z,311600,40593,6817,0
donnemartin/system-design-primer,8,Python,0,199,87,323,0.2693498452012384,0,2025-03-13T23:13:07Z,2017-02-26T16:15:28Z,291798,48478,6677,0
996icu/996.ICU,5,Unknown,0,1068,0,0,0,0,2025-03-13T23:11:46Z,2019-03-26T07:31:14Z,270422,21111,4186,0
vinta/awesome-python,10,Python,0,543,0,0,0,0,2025-03-13T23:50:42Z,2014-06-27T21:00:06Z,237006,25398,6086,0
facebook/react,11,JavaScript,103,11438,12811,13583,0.9431642494294339,0,2025-03-13T23:36:05Z,2013-05-24T16:15:54Z,233223,47895,6645,0
practical-tutorials/project-based-learning,7,Unknown,0,182,78,195,0.4,0,2025-03-13T23:35:11Z,2017-04-12T05:07:46Z,220602,28808,3238,0
awesome-selfhosted/awesome-selfhosted,9,Unknown,1,2393,803,803,1.0,0,2025-03-13T23:42:57Z,2015-06-01T02:33:17Z,220389,10367,2761,0
vuejs/vue,11,TypeScript,249,1136,9668,10023,0.9645814626359374,0,2025-03-13T22:35:45Z,2013-07-29T03:24:51Z,208471,33734,5848,0
TheAlgorithms/Python,8,Python,0,2922,1494,1557,0.9595375722543352,0,2025-03-13T23:47:59Z,2016-07-16T09:44:01Z,198367,46401,5940,0
trekhleb/javascript-algorithms,6,JavaScript,0,302,226,357,0.6330532212885154,0,2025-03-13T23:09:21Z,2018-03-24T07:47:04Z,190452,30554,4311,0
torvalds/linux,13,C,0,10,0,0,0,0,2025-03-13T23:49:56Z,2011-09-04T22:48:12Z,189494,55431,7785,0
tensorflow/tensorflow,9,C++,216,30054,39507,40303,0.9802496092102325,0,2025-03-13T23:42:12Z,2015-11-07T01:19:20Z,188605,74591,7520,0
getify/You-Dont-Know-JS,11,Unknown,0,368,856,936,0.9145299145299145,0,2025-03-13T22:30:00Z,2013-11-16T02:37:24Z,181296,33588,5873,0
CyC2018/CS-Notes,7,Unknown,0,374,448,596,0.7516778523489933,0,2025-03-13T22:34:50Z,2018-02-13T14:56:24Z,179325,51208,5268,0
ohmyzsh/ohmyzsh,15,Shell,0,3292,4766,4900,0.9726530612244898,0,2025-03-13T23:40:35Z,2009-08-28T18:15:37Z,176715,26017,2648,0
ossu/computer-science,10,Unknown,0,285,629,642,0.9797507788161994,0,2025-03-13T23:39:26Z,2014-05-04T00:18:39Z,176334,22392,5821,0
Significant-Gravitas/AutoGPT,1,Python,44,2646,2993,3176,0.9423803526448362,0,2025-03-13T23:41:16Z,2023-03-16T09:21:07Z,173328,45318,1553,0
twbs/bootstrap,13,JavaScript,89,8848,22150,22634,0.9786162410532827,0,2025-03-13T23:17:51Z,2011-07-29T21:19:00Z,171753,79045,6718,0
flutter/flutter,10,Dart,7,41268,91281,104257,0.8755383331574859,0,2025-03-13T23:48:07Z,2015-03-06T22:54:58Z,169120,28186,3509,0
microsoft/vscode,9,TypeScript,159,31913,182957,191945,0.9531740863268123,0,2025-03-13T23:44:54Z,2015-09-03T20:23:38Z,168712,31011,3335,0
github/gitignore,14,Unknown,0,1578,0,0,0,0,2025-03-13T22:53:57Z,2010-11-08T20:17:14Z,164988,83101,3401,0
jackfrued/Python-100-Days,7,Jupyter Notebook,0,13,114,662,0.17220543806646527,0,2025-03-13T22:40:09Z,2018-03-01T16:05:52Z,162295,53166,6100,0
trimstray/the-book-of-secret-knowledge,6,Unknown,0,122,0,0,0,0,2025-03-13T23:42:07Z,2018-06-23T10:43:14Z,160479,10108,2538,0
jlevy/the-art-of-command-line,9,Unknown,0,317,136,254,0.5354330708661418,0,2025-03-13T22:47:12Z,2015-05-20T15:11:03Z,155107,14627,2828,0
AUTOMATIC1111/stable-diffusion-webui,2,Python,27,1874,5452,7762,0.7023962896160784,0,2025-03-13T23:48:04Z,2022-08-22T14:05:26Z,149352,27889,1109,0
Snailclimb/JavaGuide,6,Java,0,1150,1013,1077,0.9405756731662024,0,2025-03-13T23:44:25Z,2018-05-07T13:27:00Z,148672,45753,4488,0
airbnb/javascript,12,JavaScript,0,811,1252,1347,0.9294729027468448,0,2025-03-13T21:23:54Z,2012-11-01T23:13:50Z,146278,26695,3736,0
