Repo Name,Total LOC,Avg CBO,Avg LCOM,Avg DIT,Stars,Repo Age,Releases,Size (KB)
XCL-Charts,23397,7.740061162079511,49.042813455657495,2.1773700305810397,4018,11,1128,127035
Java,2697,3.806451612903226,5.096774193548387,1.4193548387096775,148840,7,45770,176665
CoreNLP,565854,6.073015873015873,145.66961451247167,1.6374149659863946,9825,12,2712,396331
generator,68147,7.037037037037037,87.58179012345678,1.9459876543209877,23176,7,6822,908001
titan,71163,5.946047678795483,20.50564617314931,1.3726474278544543,5241,13,1009,91250
AndPermission,4486,3.994047619047619,7.488095238095238,1.1666666666666667,6633,9,1102,1665
Create,148028,10.804541768045418,28.095296025952962,1.8390105433901054,3301,6,986,84459
Hystrix,62010,3.2453865336658354,20.253865336658354,1.4902743142144639,24277,13,4729,9799
glide-transformations,991,5.555555555555555,2.7777777777777777,2.1481481481481484,9921,10,1407,26509
error-prone,107342,7.658395101514663,26.165968417660327,1.5185304543989688,6947,11,752,152363
react-native-svg,15403,6.304195804195804,77.25524475524476,2.2517482517482517,7672,9,1149,88560
guava,257764,4.010253223551344,48.56175236911605,1.7795556936461083,50602,11,10963,551960
vespa,624055,6.173435140124182,37.00218157408961,1.5971639536835038,6068,9,625,455575
zxing,40017,4.951260504201681,22.963025210084034,1.692436974789916,33169,14,9384,242772
fastexcel,20720,6.530864197530864,31.80246913580247,1.3738977072310405,4242,1,324,23810
springdoc-openapi,50905,3.985066371681416,8.850387168141593,1.3033738938053097,3390,6,517,10272
sensitive-word,3683,3.3333333333333335,20.851282051282052,1.2,4866,5,663,5625
Algorithms,32495,2.611231101511879,16.19654427645788,1.0539956803455723,61149,9,19813,5589
OpenHub,24549,6.7560975609756095,32.92835365853659,1.6326219512195121,4252,8,415,10128
lucida,23221,6.518656716417911,23.51865671641791,1.6119402985074627,4805,11,879,1352332
fastjson2,405175,2.6304112554112553,290.8895021645022,1.1856060606060606,3983,3,520,130096
netty,330055,4.300815334000858,67.12787870118724,1.5552853669003004,33904,15,16036,94256
shardingsphere,197605,6.535693145495443,26.023440274653723,1.450455783118267,20127,9,6785,660068
unidbg,90028,5.246064139941691,26.621574344023323,1.5574344023323614,4193,6,996,590078
GSYVideoPlayer,31257,5.52435064935065,55.853896103896105,1.577922077922078,20607,9,4242,337852
ftgo-application,6868,5.345945945945946,8.191891891891892,1.1891891891891893,3526,8,1360,1010
kylin,316184,7.770750157596134,137.43937802059256,1.5131330111367935,3684,10,1530,573285
spotless,34773,5.162037037037037,13.76736111111111,1.7627314814814814,4767,10,464,20404
jsonschema2pojo,14399,6.735294117647059,76.92279411764706,1.1433823529411764,6277,12,1660,12121
SpringBoot-Labs,17663,4.3025325119780975,1.4229979466119096,1.053388090349076,19476,7,6079,1813
strimzi-kafka-operator,122816,10.70551724137931,46.14206896551724,1.5179310344827586,5152,9,1347,80619
VBlog,781,4.551724137931035,29.06896551724138,1.0344827586206897,7369,8,2914,3841
reflections,4782,2.771573604060914,13.65989847715736,1.1522842639593909,4736,12,706,1064
AndroidPicker,13541,5.435146443514644,51.71548117154812,1.6443514644351465,6599,10,1480,28194
JavaSourceCodeLearning,6045,2.854889589905363,3.138801261829653,1.2586750788643533,3577,5,598,8297
pdfsam,19252,7.015673981191223,4.79153605015674,1.4341692789968652,3678,12,358,15185
AndroidAutoSize,1720,5.408163265306122,31.285714285714285,1.4081632653061225,13593,7,1988,3131
javacpp,26575,5.938679245283019,153.1933962264151,2.0235849056603774,4562,11,591,10944
flink,1096568,7.141417989417989,28.839873015873017,1.6369100529100529,24652,11,13466,521346
spock,25320,5.392706872370266,35.315568022440395,1.4446002805049087,3576,15,471,33828
richeditor-android,804,2.4186046511627906,46.95348837209303,1.1395348837209303,6290,10,1199,2898
mini-spring,2472,3.4093959731543624,5.080536912751678,1.221476510067114,5906,5,1378,1085
micronaut-core,167525,5.732994278448824,36.768806950625134,1.3265522356431447,6193,7,1094,107221
ysoserial,3851,5.458333333333333,8.891666666666667,1.3416666666666666,8045,10,1784,463
JiaoZiVideoPlayer,4511,7.27536231884058,56.63768115942029,2.1159420289855073,10487,9,2426,143896
rstudio,226107,5.5665755002159205,353.5625449834461,1.4383186987188714,4765,15,1111,982524
SpringAll,6024,5.14095744680851,3.6702127659574466,1.1117021276595744,28682,7,8183,1069
Android-Touch-Helper,2257,4.127272727272727,1.9454545454545455,1.1818181818181819,5250,5,509,156370
Recaf,66090,8.255524861878452,24.125690607734807,1.5946132596685083,6319,8,477,59066
FairEmail,253753,4.977158519872088,35.04454088624943,1.2649611694837826,3504,7,654,1108340
