Repo Name,Stars,Created At,Last Push,Size (KB),Forks
Snailclimb/JavaGuide,148840,2018-05-07T13:27:00Z,2025-03-20T07:56:59Z,176665,45770
krahets/hello-algo,110897,2022-11-04T11:08:34Z,2025-03-20T14:55:23Z,359894,13820
iluwatar/java-design-patterns,91037,2014-08-09T16:45:18Z,2025-03-23T19:04:40Z,36486,26850
macrozheng/mall,79613,2018-04-04T01:11:44Z,2025-03-17T02:50:25Z,58700,29114
doocs/advanced-java,77283,2018-10-06T11:38:30Z,2025-03-22T09:14:48Z,33737,19167
spring-projects/spring-boot,76533,2012-10-19T15:02:57Z,2025-03-21T20:44:10Z,186444,41000
MisterBooo/LeetCodeAnimation,75780,2018-12-06T08:01:22Z,2023-08-14T12:14:01Z,509807,13980
elastic/elasticsearch,72076,2010-02-08T13:20:56Z,2025-03-23T19:22:06Z,1384065,25104
kdn251/interviews,64030,2017-02-14T18:19:25Z,2024-05-13T08:48:36Z,24091,12916
TheAlgorithms/Java,61149,2016-07-16T10:21:02Z,2025-03-18T10:29:21Z,5589,19813
spring-projects/spring-framework,57611,2010-12-08T04:04:45Z,2025-03-23T17:44:37Z,222884,38394
NationalSecurityAgency/ghidra,55606,2019-03-01T03:27:48Z,2025-03-21T10:13:31Z,381092,6231
Stirling-Tools/Stirling-PDF,54702,2023-01-27T18:22:42Z,2025-03-23T16:48:17Z,81158,4542
google/guava,50602,2014-05-29T16:23:17Z,2025-03-21T21:16:45Z,551960,10963
ReactiveX/RxJava,48054,2013-01-08T20:11:48Z,2025-03-20T07:36:31Z,143573,7607
skylot/jadx,43263,2013-03-18T17:08:21Z,2025-03-22T22:22:40Z,23252,5011
dbeaver/dbeaver,42368,2015-10-21T08:26:28Z,2025-03-23T18:28:00Z,192742,3603
jeecgboot/JeecgBoot,41975,2018-11-26T10:40:00Z,2025-03-21T15:38:08Z,71679,15181
apache/dubbo,40840,2012-06-19T07:56:02Z,2025-03-19T01:32:54Z,59610,26500
termux/termux-app,39956,2015-10-23T09:42:46Z,2025-03-15T06:26:11Z,4408,4287
PhilJay/MPAndroidChart,37875,2014-04-25T14:29:47Z,2024-08-20T14:01:30Z,21720,9037
eugenp/tutorials,37101,2013-04-29T18:26:36Z,2025-03-23T01:57:27Z,108483,54394
alibaba/arthas,36084,2018-08-29T17:15:57Z,2025-03-12T02:52:54Z,55354,7538
geekxh/hello-algorithm,35527,2020-05-29T05:47:09Z,2023-06-13T04:13:17Z,365053,6470
airbnb/lottie-android,35251,2016-10-06T22:42:42Z,2025-03-20T00:47:00Z,137150,5437
halo-dev/halo,35039,2018-03-21T12:56:52Z,2025-03-22T15:40:32Z,75518,9841
bumptech/glide,34819,2013-07-08T22:52:33Z,2025-03-19T23:09:36Z,97215,6148
netty/netty,33904,2010-11-09T09:22:21Z,2025-03-21T21:11:26Z,94256,16036
xkcoding/spring-boot-demo,33514,2017-11-10T06:27:29Z,2024-07-24T02:02:52Z,14194,10953
Blankj/AndroidUtilCode,33504,2016-07-30T18:18:32Z,2024-08-15T10:38:10Z,47329,10710
doocs/leetcode,33375,2018-09-16T14:03:03Z,2025-03-23T13:56:41Z,17136215,8783
TeamNewPipe/NewPipe,33293,2015-09-03T23:39:26Z,2025-03-21T10:53:49Z,79131,3155
alibaba/easyexcel,33234,2018-02-06T03:14:08Z,2024-10-29T06:07:07Z,26334,7617
zxing/zxing,33169,2011-10-12T14:07:27Z,2025-02-10T14:22:04Z,242772,9384
SeleniumHQ/selenium,31928,2013-01-14T21:40:56Z,2025-03-23T20:20:58Z,2321847,8368
alibaba/nacos,31016,2018-06-15T06:49:27Z,2025-03-20T09:53:32Z,61562,12966
binarywang/WxJava,30769,2016-01-06T08:24:05Z,2025-03-23T12:07:01Z,18119,8807
ityouknow/spring-boot-examples,30408,2016-11-05T05:32:33Z,2023-11-18T16:32:16Z,1074,12340
YunaiV/ruoyi-vue-pro,29864,2021-01-24T03:18:25Z,2025-03-23T09:28:55Z,178082,6443
apache/kafka,29724,2011-08-15T18:06:16Z,2025-03-23T19:20:48Z,237965,14246
chinabugotech/hutool,29646,2014-04-13T07:23:51Z,2025-03-19T04:50:42Z,65838,7568
apolloconfig/apollo,29385,2016-03-04T10:24:23Z,2025-03-03T01:09:29Z,56556,10225
alibaba/canal,28914,2013-01-13T10:59:52Z,2025-03-19T07:51:32Z,24135,7648
wuyouzhuguli/SpringAll,28682,2018-05-02T02:48:44Z,2024-05-31T14:56:35Z,1069,8183
xuxueli/xxl-job,28480,2015-11-28T12:59:34Z,2025-03-22T17:48:48Z,37310,11115
alibaba/spring-cloud-alibaba,28320,2017-12-01T20:49:15Z,2024-12-04T01:22:42Z,55608,8385
alibaba/druid,28091,2011-11-03T05:12:51Z,2025-03-20T07:49:29Z,88652,8595
lenve/vhr,27668,2018-01-04T08:57:51Z,2024-11-25T00:07:39Z,8480,10303
crossoverJie/JCSprout,27110,2017-12-17T09:06:50Z,2024-05-21T02:46:20Z,1191,7075
qiurunze123/miaosha,26283,2018-09-14T04:36:24Z,2024-06-06T19:31:57Z,65689,6618
